Antrenor;Toplam;Birinci;Ikinci;Ucuncu;Kazanma_Yuzde;Ilk3_Yuzde
A.ÇIKMAN;163;13;18;18;7.98;30.06
C.YILDIRIM;162;16;16;22;9.88;33.33
T.O.KARA;161;24;15;21;14.91;37.27
H.BOYRAZ;160;24;30;19;15.0;45.62
S.ÇELİKMAN;159;15;11;15;9.43;25.79
B.FAHRİOĞLU;158;14;14;21;8.86;31.01
GÜV.GÖKÇE;157;10;11;13;6.37;21.66
İ.AKKILIÇ;157;30;25;19;19.11;47.13
A.KARATOPRAK;157;20;13;23;12.74;35.67
F.TOSUN;155;16;10;19;10.32;29.03
H.E.UYSAL;153;6;14;17;3.92;24.18
E.ÇİLEK;152;14;16;22;9.21;34.21
E.AYHAN;149;17;25;19;11.41;40.94
S.YANIK;149;13;13;16;8.72;28.19
E.KOCA;148;10;10;4;6.76;16.22
EMİN KARATAŞ;148;31;18;19;20.95;45.95
Ö.YILDIRIM;146;6;10;15;4.11;21.23
K.KAYALIK;146;3;11;10;2.05;16.44
A.AYDOĞAN;146;23;10;18;15.75;34.93
D.KAYA;146;31;25;17;21.23;50.0
RES.KAYA;145;11;16;12;7.59;26.9
H.TEKİNALP;145;16;13;11;11.03;27.59
MET.ACAR;145;18;12;11;12.41;28.28
E.KOÇAK;144;12;17;11;8.33;27.78
ENG.ALTIN;143;7;10;9;4.9;18.18
T.YILMAZ;141;9;17;12;6.38;26.95
MUH.YILDIRIM;140;11;18;18;7.86;33.57
MER.KORKMAZ;139;16;10;11;11.51;26.62
İS.TEKİNALP;139;29;17;20;20.86;47.48
U.KULAK;139;30;20;16;21.58;47.48
M.ATAL;139;17;13;17;12.23;33.81
M.DAŞ;138;15;15;15;10.87;32.61
NEJ.TURAN;138;9;9;14;6.52;23.19
M.KARALI;137;10;17;12;7.3;28.47
U.BİLİK;137;23;25;12;16.79;43.8
SEN.GÖKÇE;136;16;11;13;11.76;29.41
B.AKBULUT;135;18;24;19;13.33;45.19
HAY.YILDIRIM;134;11;11;10;8.21;23.88
G.SUBAŞI;134;13;9;10;9.7;23.88
A.TEMİZER;134;10;20;9;7.46;29.1
T.SÜSLÜ;134;12;21;14;8.96;35.07
A.AKBULUT;132;22;23;15;16.67;45.45
S.ALTUNBAŞ;132;9;10;14;6.82;25.0
S.AKCI;131;9;8;7;6.87;18.32
M.A.CANPOLATLI;131;22;17;8;16.79;35.88
Y.MİSDİK;131;13;11;13;9.92;28.24
T.TAŞAR;131;13;12;13;9.92;29.01
Y.ARSLANCA;131;18;23;18;13.74;45.04
C.KARATAŞ;129;12;13;17;9.3;32.56
N.DÜNDAR;127;18;13;18;14.17;38.58
Y.TALUK;127;10;17;14;7.87;32.28
A.TEPEBAŞI;127;22;16;21;17.32;46.46
MAHMUT DOĞAN;126;16;8;6;12.7;23.81
BAR.BULUT;126;9;16;7;7.14;25.4
MEH.AKKUŞ;126;13;8;19;10.32;31.75
O.DEMİR;123;25;12;12;20.33;39.84
