At_Ismi;Toplam;Birinci;Ikinci;Ucuncu;Kazanma_Yuzde;Ilk3_Yuzde
UNREAL ENGINE DB SK;1;0;0;0;0.0;0.0
GIATRES SKG SK;1;0;0;0;0.0;0.0
EAGLE KHAN KG DB SK;1;0;0;0;0.0;0.0
PAREZKAR DB SK;1;0;0;0;0.0;0.0
RACING RAPTURE KG DB SK;1;0;0;0;0.0;0.0
FLINT DB SKG SK;1;0;0;0;0.0;0.0
DAMASKO KG DB SK;1;0;0;0;0.0;0.0
STAR AND MOON KG K;1;0;0;0;0.0;0.0
HÜKÜMLÜ KG SK;1;1;0;0;100.0;100.0
VURGUNHAN KG;1;0;1;0;0.0;100.0
GÜZEL DEFNE SK;1;0;0;1;0.0;100.0
FERATUN KG K;1;0;0;0;0.0;0.0
LİSBOA K;1;0;0;0;0.0;0.0
GÖNÜL SARAYI KG DB SK;1;0;0;0;0.0;0.0
BAHAR ATEŞİ K;1;0;0;0;0.0;0.0
CANSUNUN KIZI KG K;1;0;0;0;0.0;0.0
KARACADAĞ KIZI SK;1;0;0;0;0.0;0.0
REYHANLI GÜZEL KG K;1;0;0;0;0.0;0.0
UÇAN TURBOCU (Koşmaz);1;0;0;0;0.0;0.0
ANGLE RISING KG K;1;1;0;0;100.0;100.0
MERT KHAN KG K DB;1;0;1;0;0.0;100.0
HEARTS PATH DB SKG SK;1;0;0;1;0.0;100.0
BORGA DB SKG SK;1;0;0;0;0.0;0.0
MİR EMRE K;1;0;0;0;0.0;0.0
CHESTA HEDRON KG SK;1;0;0;0;0.0;0.0
SON OF YAŞAR DB SKG SK;1;0;0;0;0.0;0.0
FLYING VISIT KG K DB;1;0;0;0;0.0;0.0
ONE WAY WIND SKG SK;1;0;0;0;0.0;0.0
BİZON SKG SK (Koşmaz);1;0;0;0;0.0;0.0
ENHEDUANNA KG K (Koşmaz);1;0;0;0;0.0;0.0
LUCKY ANGEL DB SK (Koşmaz);1;0;0;0;0.0;0.0
OLGUN VEDAT KG DB;1;1;0;0;100.0;100.0
MENDERES KIZI KG DB SK;1;0;1;0;0.0;100.0
BYCEVHER KG K;1;0;0;1;0.0;100.0
GÜNGELDİ AĞA KG SK;1;0;0;0;0.0;0.0
VETCİHAN KG K;1;0;0;0;0.0;0.0
EMSALLİ ER KG DB;1;0;0;0;0.0;0.0
GÖKÇEKRALİÇE KG DB SK;1;0;0;0;0.0;0.0
ÇUHA GÜLÜ K;1;0;0;0;0.0;0.0
TIĞLIBEY KG DB;1;0;0;0;0.0;0.0
GÖKNAZ ECE KG SKG SK;1;0;0;0;0.0;0.0
PELŞİN KG K DB GKR;1;0;0;0;0.0;0.0
EKİNEZYA SK;1;0;0;0;0.0;0.0
EN BÜYÜK KG SK;1;0;0;0;0.0;0.0
KUZGUNİ YEŞİL K DB (Koşmaz);1;0;0;0;0.0;0.0
HER DAİM KG DB SK;1;1;0;0;100.0;100.0
TUNA ADAM KG K;1;0;1;0;0.0;100.0
CANMERT;1;0;0;1;0.0;100.0
FERAT KG DB SK;1;0;0;0;0.0;0.0
MİRŞEŞEN KG DB SK;1;0;0;0;0.0;0.0
SEHERYELİ KG DB SK;1;0;0;0;0.0;0.0
ÜSTÜNKIZ KG DB SK;1;0;0;0;0.0;0.0
YEDİKARDEŞLER KG SK;1;0;0;0;0.0;0.0
ALMAS K;1;0;0;0;0.0;0.0
DODOKAN KG SK;1;0;0;0;0.0;0.0
YILDIZSAÇAN KG K;1;0;0;0;0.0;0.0
KING OF THE FIELD DB SKG SK;1;1;0;0;100.0;100.0
KING GÖKALP SKG SK;1;0;1;0;0.0;100.0
WARRIOR MAN DB SK;1;0;0;1;0.0;100.0
GİZLİ KAHRAMAN DB SKG SK;1;0;0;0;0.0;0.0
QUEEN SEÇİL KG K;1;0;0;0;0.0;0.0
CASH FOR YOU SKG SK;1;0;0;0;0.0;0.0
SERAHİRA KG DB SK;1;0;0;0;0.0;0.0
ALPHECCA DB SK (Koşmaz);1;0;0;0;0.0;0.0
FRÜHLİNG SK (Koşmaz);1;0;0;0;0.0;0.0
LALOCURA KG SK (Koşmaz);1;0;0;0;0.0;0.0
NAMASTE KG DB SK (Koşmaz);1;0;0;0;0.0;0.0
SERPENÇE KG DB SK;1;1;0;0;100.0;100.0
ZEYBEK YAVUZ KG K;1;0;1;0;0.0;100.0
ODABAŞI DB;1;0;0;1;0.0;100.0
DEMİRHAN TAYI KG DB SK;1;0;0;0;0.0;0.0
SALAMCI HAYRETTİN KG SK;1;0;0;0;0.0;0.0
ASAF BABA KG K;1;0;0;0;0.0;0.0
EPARVEN KG SK;1;0;0;0;0.0;0.0
ATABEYLİ KG;1;0;0;0;0.0;0.0
KIZIL GEZEGEN DB SKG SK;1;0;0;0;0.0;0.0
SEYRET BENİ SKG SK (Koşmaz);1;0;0;0;0.0;0.0
MERKÜT K;1;1;0;0;100.0;100.0
SOSAN ASLANI KG K;1;0;1;0;0.0;100.0
FERİTBATUR KG K;1;0;0;1;0.0;100.0
ÇAKIRDAMLA KG K;1;0;0;0;0.0;0.0
KARANIN OĞLU DB SK;1;0;0;0;0.0;0.0
ROZERİNA KG SK;1;0;0;0;0.0;0.0
FIRTINA VEYSİ KG SK;1;0;0;0;0.0;0.0
EYLÜL GÜZELİ KG DB SK;1;0;0;0;0.0;0.0
ŞİRİSTAN KG;1;0;0;0;0.0;0.0
TUANA KIZI KG K (Koşmaz);1;0;0;0;0.0;0.0
SHINING FORCE SK;1;1;0;0;100.0;100.0
SOLİDO HERMANOS DB SK;1;0;1;0;0.0;100.0
LAMAZİ GOGO DB SKG SK;1;0;0;1;0.0;100.0
PALURİ MAN K;1;0;0;0;0.0;0.0
LAST ISLANDER K DB;1;0;0;0;0.0;0.0
NICOLICA KG DB SK;1;0;0;0;0.0;0.0
EURO POWER KG K;1;0;0;0;0.0;0.0
MON BİJOU KG DB;1;0;0;0;0.0;0.0
MUALLİMBEY DB SKG SK;1;0;0;0;0.0;0.0
HARD LION KG DB SK;1;0;0;0;0.0;0.0
OCEAN EMPIRE K DB;1;0;0;0;0.0;0.0
MERT EFENDİ DB SK (Koşmaz);1;0;0;0;0.0;0.0
KING SHELBY SKG SK (Koşmaz);1;0;0;0;0.0;0.0
ŞEV DB SK (Koşmaz);1;0;0;0;0.0;0.0
NART THE WOLF K DB;1;1;0;0;100.0;100.0
AFTER BURNER KG K DB;1;0;1;0;0.0;100.0
EARTHQUAKE KG SK;1;0;0;1;0.0;100.0
DARKROK KG DB SK;1;0;0;0;0.0;0.0
ZEYREK SK;1;0;0;0;0.0;0.0
MISS ELLEN KG DB SK;1;0;0;0;0.0;0.0
DİREKLİ BEY KG K;1;0;0;0;0.0;0.0
AKERBEY;1;1;0;0;100.0;100.0
BOZKIR YİĞİDİ KG SK;1;0;1;0;0.0;100.0
CEO ENDER KG SK;1;0;0;1;0.0;100.0
ZEYMAY KG SK;1;0;0;0;0.0;0.0
BÜCÜRÜK AKTAŞ KG K;1;0;0;0;0.0;0.0
ZEYTİN DİBİ KG SK;1;0;0;0;0.0;0.0
SEVERBEY KG SK (Koşmaz);1;0;0;0;0.0;0.0
SAMET EFENDİ KG SK;1;1;0;0;100.0;100.0
KUZEYHAN KG DB SK;1;0;1;0;0.0;100.0
SER DAĞYUDAN KG DB SK;1;0;0;1;0.0;100.0
CEZZAR BEY DB SKG SK;1;0;0;0;0.0;0.0
TEYAR KG DB SK;1;0;0;0;0.0;0.0
KETHÜDA KG K;1;0;0;0;0.0;0.0
DEDEBATUR KG SK;1;0;0;0;0.0;0.0
TEKÖZGÜN KG SK;1;0;0;0;0.0;0.0
NEŞET AĞA KG K;1;0;0;0;0.0;0.0
SIBLINGS K;1;1;0;0;100.0;100.0
DENİZARES KG SK;1;0;1;0;0.0;100.0
BABA SÖZDİNLER KG SK;1;0;0;1;0.0;100.0
LAGIOIA KG K;1;0;0;0;0.0;0.0
RUN FOR US KG;1;0;0;0;0.0;0.0
TEMERARIO;1;0;0;0;0.0;0.0
MONOTONIA (Koşmaz);1;0;0;0;0.0;0.0
OKLOHAMA (Koşmaz);1;0;0;0;0.0;0.0
ESTIMATE KG SK;1;1;0;0;100.0;100.0
LADY SEPHORA KG K DB;1;0;1;0;0.0;100.0
STALWART HERA KG DB SK;1;0;0;1;0.0;100.0
LOVE SEA K;1;0;0;0;0.0;0.0
LA JEFA SK ÖG;1;0;0;0;0.0;0.0
REMEMBER LOVE KG SK;1;0;0;0;0.0;0.0
GOOD WIEW GLORY SK;1;1;0;0;100.0;100.0
WHISPER OF VICTORY KG SK;1;0;1;0;0.0;100.0
KARDAHA KG SK;1;0;0;1;0.0;100.0
BESAME MUCHO SKG SK;1;0;0;0;0.0;0.0
PRINCESS BALA K DB;1;0;0;0;0.0;0.0
MY LADY BUG DB SK;1;0;0;0;0.0;0.0
DEEP GIRL K DB;1;0;0;0;0.0;0.0
FORTHCOMING QUEEN KG K;1;0;0;0;0.0;0.0
HIGH HILLS KG SK;1;0;0;0;0.0;0.0
RATTLESNAKE SK;1;1;0;0;100.0;100.0
ÇELÇIRN FIRTINASI KG SK;1;0;1;0;0.0;100.0
SİLÜET KG K;1;0;0;1;0.0;100.0
PRINCESS ALEXANDRA DB SKG SK;1;0;0;0;0.0;0.0
FIRE OF VALERIA KG K;1;0;0;0;0.0;0.0
MAYBE FOR US KG K;1;0;0;0;0.0;0.0
TAFO IS BACK SK (Koşmaz);1;0;0;0;0.0;0.0
MANIAC (Koşmaz);1;0;0;0;0.0;0.0
SELANİK ASLANI KG SK;1;1;0;0;100.0;100.0
NORTH PASHA K DB SKG;1;0;1;0;0.0;100.0
MY CATHERINE DB SK;1;0;0;1;0.0;100.0
EL RIO SKG SK SGKR;1;0;0;0;0.0;0.0
DOĞANTÜRKBEYİ KG SK;1;0;0;0;0.0;0.0
MY STAR DB;1;0;0;0;0.0;0.0
LUPELYAN DB SK;1;0;0;0;0.0;0.0
MY SİXTH SENSE KG DB SK;1;0;0;0;0.0;0.0
MAVİ TOPAZ SK;1;0;0;0;0.0;0.0
TURBO FANI KG DB SK;1;0;0;0;0.0;0.0
BLUE QUEEN KG SK;1;0;0;0;0.0;0.0
FREYDIS KG K DB;1;1;0;0;100.0;100.0
LADY MELIAN K ÖG;1;0;1;0;0.0;100.0
ZENITH SKY KG DB SK;1;0;0;1;0.0;100.0
CASHOUT DB SK;1;0;0;0;0.0;0.0
ROYAL CIPHER K DB;1;0;0;0;0.0;0.0
ALTYN ORDA KG DB SK;1;0;0;0;0.0;0.0
DATÇA RÜZGARI DB SK;1;0;0;0;0.0;0.0
PARSALI MİRAY KG K;1;0;0;0;0.0;0.0
GİZEMLİ DAMLA KG K;1;0;0;0;0.0;0.0
İLK HEYECAN SK;1;0;0;0;0.0;0.0
SHADOW STYLE K DB (Koşmaz);1;0;0;0;0.0;0.0
SPECIAL STAR DB SK (Koşmaz);1;0;0;0;0.0;0.0
SERİNTEPE KG DB SK;1;1;0;0;100.0;100.0
CESURSOY DB SK;1;0;1;0;0.0;100.0
OĞUL FATİH KG DB SK;1;0;0;1;0.0;100.0
TAMERKIZ SK;1;0;0;0;0.0;0.0
EGE KARTALI KG DB SK;1;0;0;0;0.0;0.0
DEMİRNAL KG DB SK;1;0;0;0;0.0;0.0
DATCA DB SKG SK;1;0;0;0;0.0;0.0
TAM YOL KG K;1;0;0;0;0.0;0.0
JINIRAL DB SKG SK;1;0;0;0;0.0;0.0
DİLBERHATUN KG DB SK GKR ÖG;1;0;0;0;0.0;0.0
AKSELBEYİM KG DB;1;0;0;0;0.0;0.0
LOTUS EMİNE K DB;1;0;0;0;0.0;0.0
MAVİGÖZ KG SK;1;0;0;0;0.0;0.0
GÖKHİSAR KG K DB (Koşmaz);1;0;0;0;0.0;0.0
QUEEN TUANA KG K;1;1;0;0;100.0;100.0
NURBADEM K DB SK;1;0;1;0;0.0;100.0
POP ART KG K;1;0;0;1;0.0;100.0
BLUE STRAWBERRY DB SKG SK;1;0;0;0;0.0;0.0
NOOR IRON KG K DB;1;0;0;0;0.0;0.0
FIELD SPARK KG K;1;0;0;0;0.0;0.0
NICE COLT KG K DB;1;0;0;0;0.0;0.0
DUBLIN DREAM KG DB SK;1;0;0;0;0.0;0.0
AGENT OF INFLUENCE KG K;1;0;0;0;0.0;0.0
EXCEPTIONAL KG K GKR;1;0;0;0;0.0;0.0
CROWN SENTINEL KG DB SK (Koşmaz);1;0;0;0;0.0;0.0
THE ADMIRAL SK;1;1;0;0;100.0;100.0
CAPTAIN ROVER DB;1;0;1;0;0.0;100.0
BELLA MARE DB SK;1;0;0;1;0.0;100.0
MUĞLALI ADNAN DB SKG SK;1;0;0;0;0.0;0.0
BLACK GALAXY DB SK;1;0;0;0;0.0;0.0
ERDUMAN SK;1;0;0;0;0.0;0.0
KEEN EYE KG K DB;1;0;0;0;0.0;0.0
BORN FOR GLORY SKG SK;1;0;0;0;0.0;0.0
MİRALAYIM DB SKG SK;1;0;0;0;0.0;0.0
THUNDER JEST KG K (Koşmaz);1;0;0;0;0.0;0.0
BEULIEU KG K DB (Koşmaz);1;0;0;0;0.0;0.0
LA BOMBONERA KG K DB (Koşmaz);1;0;0;0;0.0;0.0
MURATIN KIZI SK (Koşmaz);1;0;0;0;0.0;0.0
MODİGLİANİ K DB (Koşmaz);1;0;0;0;0.0;0.0
KAYA DÜNYASI KG DB SK GKR;1;1;0;0;100.0;100.0
ESMERDAĞ DB YP;1;0;1;0;0.0;100.0
SARSALA KG DB SK;1;0;0;1;0.0;100.0
SAMSAT DB SKG SK;1;0;0;0;0.0;0.0
ARLİNHAN KG DB SK;1;0;0;0;0.0;0.0
ÖZGÜLEN GÜZELİ KG K;1;0;0;0;0.0;0.0
YARENYAR KG K DB;1;0;0;0;0.0;0.0
BORZEMİR KG DB SK GKR;1;0;0;0;0.0;0.0
TUNA KALESİ DB SK;1;0;0;0;0.0;0.0
MUŞLİ KG DB SK;1;0;0;0;0.0;0.0
KAFKASLIŞAH KG DB SK;1;0;0;0;0.0;0.0
AKGÜNEY KG DB SK;1;0;0;0;0.0;0.0
BOĞUŞLU KG SK;1;0;0;0;0.0;0.0
MİKSER KG DB SK (Koşmaz);1;0;0;0;0.0;0.0
BRAVE ORPHAN KG;1;1;0;0;100.0;100.0
FROST CAT KG DB SK;1;0;1;0;0.0;100.0
BOB VALDES;1;0;0;1;0.0;100.0
ÖNDERBEYİM KG K;1;0;0;0;0.0;0.0
CREATIVE MIND DB SKG SK;1;0;0;0;0.0;0.0
RING RANG RONG KG K DB GKR;1;0;0;0;0.0;0.0
LAST FORCE KG K GKR;1;0;0;0;0.0;0.0
SAİTAMA KG DB SK;1;0;0;0;0.0;0.0
MİGRAKOM BEYİ DB SKG SK;1;0;0;0;0.0;0.0
ŞİMŞEKKIRAN KG DB SK;1;1;0;0;100.0;100.0
GÜLERYÜZ KG K;1;0;1;0;0.0;100.0
KIRKLAR DAĞI KG DB SK;1;0;0;1;0.0;100.0
JÖN ROME K;1;0;0;0;0.0;0.0
KIVILCIM ATEŞİ KG DB;1;0;0;0;0.0;0.0
FREE BLOOD KG K DB;1;0;0;0;0.0;0.0
UĞURLU YILDIZ DB SK;1;0;0;0;0.0;0.0
EXIREL K DB;1;1;0;0;100.0;100.0
ÇİFTÇİ STELLA KG DB SK SGKR;1;0;1;0;0.0;100.0
HALEP MEKTUBU DB;1;0;0;1;0.0;100.0
CALL TO WARRIOR KG DB SK;1;0;0;0;0.0;0.0
KIZIL ANKA SK;1;0;0;0;0.0;0.0
ARMENİN KIZI;1;0;0;0;0.0;0.0
QUICKSTEP QUEEN KG K DB;1;0;0;0;0.0;0.0
GÜLFEM HATUN KG SK;1;0;0;0;0.0;0.0
POWER OF SISTERS DB SKG SK;1;0;0;0;0.0;0.0
CAT WOMAN KG K DB ÖG (Koşmaz);1;0;0;0;0.0;0.0
FOOTSTEP KG K DB SK ÖG (Koşmaz);1;0;0;0;0.0;0.0
HOLLABACK GIRL KG DB SK (Koşmaz);1;0;0;0;0.0;0.0
BLUE REFLECTION KG DB;1;1;0;0;100.0;100.0
BAHİSÇİ DB SKG SK;1;0;1;0;0.0;100.0
LODATO SKG SK;1;0;0;1;0.0;100.0
WINGS OF FREEDOM DB SK;1;0;0;0;0.0;0.0
COOL POWER DB SKG SK;1;0;0;0;0.0;0.0
LAST STROM DB SK;1;0;0;0;0.0;0.0
LE ROI DANSE DB SK;1;0;0;0;0.0;0.0
GLORIOUS LIFE KG DB SK;1;0;0;0;0.0;0.0
GULAZER SK;1;0;0;0;0.0;0.0
RÜTBESİZ KG DB SK;1;0;0;0;0.0;0.0
MERCİA KG K DB;1;0;0;0;0.0;0.0
LITTLE BATTLER KG K;1;0;0;0;0.0;0.0
SİYAH KRAL SKG SK;1;0;0;0;0.0;0.0
MASLOVA DB SK;1;0;0;0;0.0;0.0
DOĞU ASLANI DB SKG SK;1;0;0;0;0.0;0.0
TIMELESS KG K DB (Koşmaz);1;0;0;0;0.0;0.0
CAZGIR YAŞAR KG SK;1;1;0;0;100.0;100.0
AKBELHAN KG DB SK;1;0;1;0;0.0;100.0
ATEŞ REİSİ KG K;1;0;0;1;0.0;100.0
GÖKTUĞTAY KG;1;0;0;0;0.0;0.0
EGETAY KG GKR;1;0;0;0;0.0;0.0
TAŞUCU KG DB;1;0;0;0;0.0;0.0
ÇELİKGİLLER KG K DB;1;0;0;0;0.0;0.0
ÖZGÜNALP KG;1;0;0;0;0.0;0.0
OLGUNADAM KG DB SK;1;0;0;0;0.0;0.0
LE PATRON KG SK;1;0;0;0;0.0;0.0
SİYAH PENÇE DB SKG SK;1;0;0;0;0.0;0.0
BİLETÇİ KIZ KG DB;1;1;0;0;100.0;100.0
SAADGIRL KG DB SK;1;0;1;0;0.0;100.0
HAYATIMINCANI KG DB SK;1;0;0;1;0.0;100.0
LUSİA KG K;1;0;0;0;0.0;0.0
SUBİKE KG DB;1;0;0;0;0.0;0.0
ATEŞİM KG DB SK;1;0;0;0;0.0;0.0
MÜREKKEP YÜREK DB SK;1;0;0;0;0.0;0.0
NERGİZLİ KG K;1;0;0;0;0.0;0.0
FIRATIN GÜCÜ KG K;1;0;0;0;0.0;0.0
O BİR ÇELİK KG K;1;1;0;0;100.0;100.0
İNEBOLU SKG SK;1;0;1;0;0.0;100.0
AKTAŞKAYA KG SK;1;0;0;1;0.0;100.0
ESİNİN KIZI SK;1;0;0;0;0.0;0.0
HIZLI VEYSEL KG K GKR;1;0;0;0;0.0;0.0
ÖZTEKBEY KG SK;1;0;0;0;0.0;0.0
MAVİ ŞAFAK KG DB SK;1;0;0;0;0.0;0.0
AVCITOKOÇİN SKG SK;1;0;0;0;0.0;0.0
MY FEARLESS SON;1;1;0;0;100.0;100.0
VOLITIVO KG SK;1;0;1;0;0.0;100.0
BAY CAVALLO DB SK;1;0;0;1;0.0;100.0
CRACKAJACK KG K DB SGKR;1;0;0;0;0.0;0.0
CLARISSA KG SK;1;0;0;0;0.0;0.0
RED KIT KG;1;0;0;0;0.0;0.0
TALEBE KG K;1;0;0;0;0.0;0.0
HEYBETLİLER DB;1;0;0;0;0.0;0.0
LEGACY OF HENRY DB SK;1;0;0;0;0.0;0.0
DANCING KING SKG SK;1;0;0;0;0.0;0.0
HAÇOVALI KG K;1;0;0;0;0.0;0.0
ANGEL KISS K;1;0;0;0;0.0;0.0
ULAN METİN SK;1;0;0;0;0.0;0.0
ALA MASTER;1;0;0;0;0.0;0.0
BRILLIANCE SK;1;0;0;0;0.0;0.0
WILDBERRY DB SK (Koşmaz);1;0;0;0;0.0;0.0
PIHA K;1;1;0;0;100.0;100.0
VINTAGE K;1;0;1;0;0.0;100.0
LOCO SUGAR SK;1;0;0;1;0.0;100.0
VERAGORN SK;1;0;0;0;0.0;0.0
LA HIGUERA DB SK;1;0;0;0;0.0;0.0
KHIOS SKG SK;1;0;0;0;0.0;0.0
BOUNDLESS POWER KG K DB;1;0;0;0;0.0;0.0
LUNA ESTRELLA DB;1;0;0;0;0.0;0.0
QUEEN OF ALBANY KG DB;1;0;0;0;0.0;0.0
DEJAME SK;1;0;0;0;0.0;0.0
DOLCE MARE SK;1;0;0;0;0.0;0.0
RUN LOLA RUN KG DB SK;1;0;0;0;0.0;0.0
LADY NALÇAKAN K;1;0;0;0;0.0;0.0
CENTURIES VICTORY KG K DB;1;0;0;0;0.0;0.0
AMMAYAMAN SK;1;1;0;0;100.0;100.0
EL GLADIADOR KG K DB;1;0;1;0;0.0;100.0
LAUREATE DB SKG SK;1;0;0;1;0.0;100.0
POWER OF HAKEEM DB SK;1;0;0;0;0.0;0.0
MAKE A FIRE DB SKG SK;1;0;0;0;0.0;0.0
BANDOLERO KG DB SK;1;0;0;0;0.0;0.0
GREY GHOST KG DB SK;1;0;0;0;0.0;0.0
WHIZBANG K;1;1;0;0;100.0;100.0
SILENT TREATMENT KG SK;1;0;1;0;0.0;100.0
DIRE WOLF SK;1;0;0;1;0.0;100.0
JOYFUL FOREVER K DB;1;0;0;0;0.0;0.0
SNOW LEOPARD SK;1;0;0;0;0.0;0.0
TENDÜREK SK;1;0;0;0;0.0;0.0
DARK VEYRON KG K;1;0;0;0;0.0;0.0
LINARES K SKG SK;1;0;0;0;0.0;0.0
BRISBANE;1;0;0;0;0.0;0.0
STEEL STRONG KG DB SK;1;0;0;0;0.0;0.0
MARCO KING DB SK;1;0;0;0;0.0;0.0
GOLDRAKHAN DB (Koşmaz);1;0;0;0;0.0;0.0
TRUE BLUE K DB SKG (Koşmaz);1;0;0;0;0.0;0.0
SHE IS APPROVED K DB SK;1;1;0;0;100.0;100.0
SHIROKE DB SK;1;0;1;0;0.0;100.0
HILLS OF SPIRIT K;1;0;0;1;0.0;100.0
WAITING A SUNNYDAY KG K DB;1;0;0;0;0.0;0.0
KÖMÜR HANIM K DB;1;0;0;0;0.0;0.0
ZELUCCİ SK;1;0;0;0;0.0;0.0
SECRET IMAGE DB SK;1;0;0;0;0.0;0.0
BODE A WINNER K;1;0;0;0;0.0;0.0
OKYANUS İNCİSİ SK;1;0;0;0;0.0;0.0
CRAZY TİZ KG K DB;1;0;0;0;0.0;0.0
ARNAVUT KIZ K DB;1;0;0;0;0.0;0.0
SUN GODDESS DB SK;1;0;0;0;0.0;0.0
FLYING JO K DB;1;0;0;0;0.0;0.0
MARISCAL KG K DB GKR (Koşmaz);1;0;0;0;0.0;0.0
THIS CHARMING MAN KG K;1;1;0;0;100.0;100.0
TALİPHAN BEY;1;0;1;0;0.0;100.0
PATRONA HOLİ DB;1;0;0;1;0.0;100.0
PRINCE VINCE KG K;1;0;0;0;0.0;0.0
TANER ABİ K;1;0;0;0;0.0;0.0
KING MAHİR KG K;1;0;0;0;0.0;0.0
BOREAL;1;0;0;0;0.0;0.0
GLONASS KG DB SK;1;0;0;0;0.0;0.0
SHAREHOLDER KG DB SK;1;0;0;0;0.0;0.0
MY FOUNTAIN KG K DB;1;0;0;0;0.0;0.0
KİKAZARU DB SKG SK;1;0;0;0;0.0;0.0
ANGEL AT WAR K DB;1;0;0;0;0.0;0.0
WELLERMAN K;1;0;0;0;0.0;0.0
REYWU K;1;0;0;0;0.0;0.0
BLUE STAR KG K DB;1;0;0;0;0.0;0.0
FERDANENİN OĞLU KG K;1;0;0;0;0.0;0.0
HAŞARI SK YP (Koşmaz);1;0;0;0;0.0;0.0
BLIZZARD SK;1;1;0;0;100.0;100.0
MY BOY GÖKSU K;1;0;1;0;0.0;100.0
HEVSEL SKG SK;1;0;0;1;0.0;100.0
BLUEBACK KG SK;1;0;0;0;0.0;0.0
TM BATAILE SK;1;0;0;0;0.0;0.0
KERPETEN DB SK;1;0;0;0;0.0;0.0
KINGS OF COUNTRIES SK;1;0;0;0;0.0;0.0
BABA BATTAL KG DB SK (Koşmaz);1;0;0;0;0.0;0.0
SILENT TOUCH SKG SK (Koşmaz);1;0;0;0;0.0;0.0
ÖZERDEM DB;1;1;0;0;100.0;100.0
TERCAN HAN K DB;1;0;1;0;0.0;100.0
KESTENOĞLU KG DB SK;1;0;0;1;0.0;100.0
MÜZEYYEN ABLA DB;1;0;0;0;0.0;0.0
PRENS CORA KG;1;0;0;0;0.0;0.0
KAŞMİR TAY KG DB SK;1;0;0;0;0.0;0.0
BUZMAN KG K;1;0;0;0;0.0;0.0
KURŞUNİLİ KG K;1;0;0;0;0.0;0.0
SİNSİNATEŞİ K;1;0;0;0;0.0;0.0
SANCAKALAN KG DB SK (Koşmaz);1;0;0;0;0.0;0.0
ANEMON ÇİÇEĞİ KG DB SK (Koşmaz);1;0;0;0;0.0;0.0
İDİLYILDIZ K DB YP (Koşmaz);1;0;0;0;0.0;0.0
BANDIRMALI DB SKG SK (Koşmaz);1;0;0;0;0.0;0.0
THINDER OF SHINE SK;1;1;0;0;100.0;100.0
ASALTIN KG DB SK;1;0;1;0;0.0;100.0
LEJUR KG DB SKG SK;1;0;0;1;0.0;100.0
FOUDROYANT K DB;1;0;0;0;0.0;0.0
CALEDONIE K;1;0;0;0;0.0;0.0
KING PISA KG K DB;1;0;0;0;0.0;0.0
SELLYBOY KG DB SK (Koşmaz);1;0;0;0;0.0;0.0
ZORRO KG DB (Koşmaz);1;0;0;0;0.0;0.0
DRAGON BLUE K DB;1;1;0;0;100.0;100.0
BOCCE DB SKG SK;1;0;1;0;0.0;100.0
KING OF ALİ DB SK;1;0;0;1;0.0;100.0
MİKEA KG DB SK;1;0;0;0;0.0;0.0
FIREWOOD DB SKG SK;1;0;0;0;0.0;0.0
COLTON K;1;0;0;0;0.0;0.0
ALPS FIRE K DB SKG SK;1;0;0;0;0.0;0.0
YAZ KG SK;1;0;0;0;0.0;0.0
GOLDEN APPLE K DB;1;0;0;0;0.0;0.0
ROZERYA DB;1;0;0;0;0.0;0.0
GRAVITY OF LOVE SKG SK (Koşmaz);1;0;0;0;0.0;0.0
ANGEL QUEST K DB (Koşmaz);1;0;0;0;0.0;0.0
SKY CRUISE DB SK (Koşmaz);1;0;0;0;0.0;0.0
DESERT POINT KG K DB (Koşmaz);1;0;0;0;0.0;0.0
LADY CLASSMAN  KG DB SK;1;1;0;0;100.0;100.0
BLUE WAVE SK;1;0;1;0;0.0;100.0
CALIFORNIA FIRE K DB SKG;1;0;0;1;0.0;100.0
KEDİ ÇOCUK KG DB SK;1;0;0;0;0.0;0.0
EMEĞİN KARŞILIĞI KG SK;1;0;0;0;0.0;0.0
BAHRİYELİ ÇİKOK KG DB SK;1;0;0;0;0.0;0.0
LIFE AND LIGHT KG K;1;0;0;0;0.0;0.0
BREAD MONEY DB SKG SK;1;0;0;0;0.0;0.0
KOPAL KG SK;1;0;0;0;0.0;0.0
MY HAZEL EYES DB SK;1;0;0;0;0.0;0.0
ERİKDALI KG DB SK;1;0;0;0;0.0;0.0
SHARP SWORD KG DB SK;1;0;0;0;0.0;0.0
SEVEN SKY ALMİLA SK;1;0;0;0;0.0;0.0
ALL ALONE K DB;1;0;0;0;0.0;0.0
JULYUS KG K;1;0;0;0;0.0;0.0
MODALIEMRE DB SK;1;0;0;0;0.0;0.0
ACOUSTIC SONG SK (Koşmaz);1;0;0;0;0.0;0.0
SERHUNEFE KG DB SK;1;1;0;0;100.0;100.0
HIZLI KEREM KG K;1;0;1;0;0.0;100.0
FİKRET ABİ KG K DB;1;0;0;1;0.0;100.0
ÇİLEK HÜMA DB SK;1;0;0;0;0.0;0.0
FIRTINADAN DOĞAN KG SK;1;0;0;0;0.0;0.0
CEBELTUNA KG K;1;0;0;0;0.0;0.0
AVANOS EFESİ KG DB SK;1;0;0;0;0.0;0.0
ALSAKİB SK;1;0;0;0;0.0;0.0
GÜLEYCANOĞLU KG DB SK;1;0;0;0;0.0;0.0
İLKBEY KG DB SK;1;0;0;0;0.0;0.0
