At_Ismi;Toplam;Birinci;Ikinci;Ucuncu;Kazanma_Yuzde;Ilk3_Yuzde
ROCK IRON DB;1;0;0;1;0.0;100.0
SER ŞÖVALYE KG DB SK;1;0;0;0;0.0;0.0
GREEN MILE KG DB SK;1;0;0;0;0.0;0.0
UFKUN ÖTESİ DB;1;0;0;0;0.0;0.0
İLBAN BEYİ KG DB SK;1;0;0;0;0.0;0.0
TATMAR BEY K;1;0;0;0;0.0;0.0
ŞİRİN DE FAUST KG DB SK;1;0;0;0;0.0;0.0
ROCK FOR EVER KG SK;1;1;0;0;100.0;100.0
KING FERİT DB SK;1;0;1;0;0.0;100.0
LA COPA K;1;0;0;1;0.0;100.0
FIRE AT WILL DB SKG SK;1;0;0;0;0.0;0.0
SECRET SAVER KG K DB;1;0;0;0;0.0;0.0
KARA AYHAN K DB;1;1;0;0;100.0;100.0
GÜNMETE DB SK;1;0;1;0;0.0;100.0
GÜMBÜR ŞAH KG K;1;0;0;1;0.0;100.0
ÇİÇEK TOHUMU KG DB SK;1;0;0;0;0.0;0.0
SANCARLI BEY KG K DB;1;0;0;0;0.0;0.0
BAŞ FEDAİ KG DB SK;1;0;0;0;0.0;0.0
OĞUL ÇINAR KG K DB;1;0;0;0;0.0;0.0
KAZDAĞI EFESİ;1;0;0;0;0.0;0.0
KAYATEĞİN KG SK;1;0;0;0;0.0;0.0
BABA ENİS KG SK;1;0;0;0;0.0;0.0
ELMAPINAR KG K DB;1;0;0;0;0.0;0.0
EMİRHAT KG DB SK (Koşmaz);1;0;0;0;0.0;0.0
ÖZTAMER KG DB SK;1;1;0;0;100.0;100.0
AVCI OĞLUM KG SK;1;0;1;0;0.0;100.0
SULTAN NENE KG SK;1;0;0;1;0.0;100.0
SAPANCA AĞASI KG DB SK;1;0;0;0;0.0;0.0
SEMEND BATUR KG DB SK;1;0;0;0;0.0;0.0
KIRMÜJDE DB SK;1;0;0;0;0.0;0.0
YAMAÇ RÜZGARI KG;1;0;0;0;0.0;0.0
ÇELİKMAVİ KG DB;1;0;0;0;0.0;0.0
YETİM İBRAHİM KG DB SK GKR;1;0;0;0;0.0;0.0
DAMLA SUYU KG DB;1;0;0;0;0.0;0.0
DERYADİL DB SKG SK;1;0;0;0;0.0;0.0
BALMELDA KG DB SK;1;0;0;0;0.0;0.0
ESKİ TOPRAK DB SKG SK;1;0;0;0;0.0;0.0
KÖKŞUBAR KG DB;1;0;0;0;0.0;0.0
YAĞIZHANBEY DB;1;0;0;0;0.0;0.0
EUROFIGHTER KG DB SK;1;1;0;0;100.0;100.0
MISS CALIFORNIA KG K;1;0;1;0;0.0;100.0
BOLD RUNNER K SKG;1;0;0;1;0.0;100.0
QUİEREME KG DB SK;1;0;0;0;0.0;0.0
PERSONA NON GRATA KG DB SK;1;0;0;0;0.0;0.0
MADORA SK ÖG SGKR;1;0;0;0;0.0;0.0
MERTİM PEHLİVANIM KG DB SK;1;0;0;0;0.0;0.0
PARSİS DB SKG SK;1;0;0;0;0.0;0.0
PHANTOM RULER SK;1;0;0;0;0.0;0.0
LOVİBOND DB SK;1;1;0;0;100.0;100.0
CHAIRMAN DB SKG SK;1;0;1;0;0.0;100.0
LION PEKAN SKG SK;1;0;0;1;0.0;100.0
CESİ AFFETMEZ DB;1;0;0;0;0.0;0.0
STAR MY BEST SKG SK;1;0;0;0;0.0;0.0
SUPER CHIRON DB SK;1;0;0;0;0.0;0.0
ARAMİTH DB SK;1;0;0;0;0.0;0.0
STAR AHLAS K DB SKG;1;0;0;0;0.0;0.0
RICO PASHA KG SK;1;1;0;0;100.0;100.0
LORD OF THE WOLF DB SK;1;0;1;0;0.0;100.0
BAY LEMİ DB SK;1;0;0;1;0.0;100.0
ÇAVDARLI DB SKG SK;1;0;0;0;0.0;0.0
CROWNED DB SK;1;0;0;0;0.0;0.0
FORTUNELLO SKG SK;1;0;0;0;0.0;0.0
THE SNAKE PIT DB SKG SK;1;0;0;0;0.0;0.0
NADUH KG DB SK;1;0;0;0;0.0;0.0
ARKADIOPOLIS DB SK;1;0;0;0;0.0;0.0
SEMENDİN OĞLU KG DB SK;1;1;0;0;100.0;100.0
ŞADİNİN OĞLU KG K DB;1;0;1;0;0.0;100.0
CİMİRİNGO KG SK;1;0;0;1;0.0;100.0
KARSAVURANLI KG DB SK;1;0;0;0;0.0;0.0
MEGAFAUNA KG K;1;0;0;0;0.0;0.0
TANJU BEY KG DB SK GKR;1;0;0;0;0.0;0.0
HIZLI EREN KG K DB;1;0;0;0;0.0;0.0
İRFAN ABİ KG DB SK;1;0;0;0;0.0;0.0
MAVİ LADİN KG SK GKR;1;0;0;0;0.0;0.0
KARA ONUR GKR;1;0;0;0;0.0;0.0
RAHİK KG K;1;0;0;0;0.0;0.0
MADRABAZ YELİ KG DB SK;1;0;0;0;0.0;0.0
ÖZ MİDYATLI KG DB SK;1;0;0;0;0.0;0.0
BİÇERROZA KG SK;1;0;0;0;0.0;0.0
ÇUBUK YILDIZI KG K (Koşmaz);1;0;0;0;0.0;0.0
PAPETTİ KG K;1;1;0;0;100.0;100.0
BABA AKİF KG SK;1;0;1;0;0.0;100.0
DİLEK ABLA KG SK;1;0;0;1;0.0;100.0
HÜSNÜGÜLÜM K;1;0;0;0;0.0;0.0
ZENGHAT KG K;1;0;0;0;0.0;0.0
GÜMÜŞÇELİK KG K;1;0;0;0;0.0;0.0
CORSA KG;1;0;0;0;0.0;0.0
KURUDUT KG K;1;0;0;0;0.0;0.0
EZDAR GÜLÜ KG K;1;0;0;0;0.0;0.0
ÇAYKARA KIZI DB;1;0;0;0;0.0;0.0
GÖNÜL KALESİ KG K;1;0;0;0;0.0;0.0
ÖZAY SILAŞARA KG SK;1;1;0;0;100.0;100.0
STORMY RIVER KG DB SK;1;0;1;0;0.0;100.0
TOWSON KG SK;1;0;0;1;0.0;100.0
KUTUP KIZI SKG SK;1;0;0;0;0.0;0.0
BEYOND THE SEA DB SKG SK;1;0;0;0;0.0;0.0
MY MOON KG SK;1;0;0;0;0.0;0.0
QUIET RIVER SKG SK;1;0;0;0;0.0;0.0
ÖZBEK PRENSESİ KG K DB;1;1;0;0;100.0;100.0
RÜZGARLIHAN KG SK;1;0;1;0;0.0;100.0
BESRİCAN KIZI KG DB SK;1;0;0;1;0.0;100.0
HIZLI MARTI KG SK;1;0;0;0;0.0;0.0
ENESPAŞA KG K;1;0;0;0;0.0;0.0
ROYAL EŞLİ KG SK;1;0;0;0;0.0;0.0
RENGİNKIZ KG K;1;0;0;0;0.0;0.0
PAYZİROBA KG DB SK;1;0;0;0;0.0;0.0
GÜLENYAR;1;0;0;0;0.0;0.0
TİLDA HANIM KG K;1;0;0;0;0.0;0.0
CAN HİLALİM KG SK;1;0;0;0;0.0;0.0
UÇANEMİRHAN KG SK;1;1;0;0;100.0;100.0
BÖRÜTAY DB SK;1;0;1;0;0.0;100.0
SANATKAR KG SK;1;0;0;1;0.0;100.0
TUSTUS TUĞRUL KG SK;1;0;0;0;0.0;0.0
DENİZ KASIRGASI K;1;0;0;0;0.0;0.0
BİZİMSOY KG DB;1;0;0;0;0.0;0.0
ÇILGIN HEME DB SKG SK;1;0;0;0;0.0;0.0
AKSU BABA KG SK;1;0;0;0;0.0;0.0
KARAHIRÇ DB SKG SK;1;0;0;0;0.0;0.0
AZAT BABA K SKG;1;1;0;0;100.0;100.0
PINAR RÜZGARI KG SK;1;0;1;0;0.0;100.0
HAMDİ AĞA DB;1;0;0;1;0.0;100.0
KRAL AHMET KG DB;1;0;0;0;0.0;0.0
GÖZE ÇARPAN;1;0;0;0;0.0;0.0
ÇALIŞTAY KG K DB GKR;1;0;0;0;0.0;0.0
GÖLDERELİ KG;1;0;0;0;0.0;0.0
