Hipodrom;Kosu_No;Saat;Mesafe;Pist;Cins;Sira;At_Ismi;Yas_Cinsiyet;Orijin;Kilo;Jokey;Sahip;Antrenor;Start_No;HP;Son_6_Yaris;KGS;S20;Ganyan;AGF;Tarih
Ankara;1;14:30;1000;Cim;Maiden;1;ÇEŞNİGİR;3y a  d;ALTINCI HİS-MAHİZARKIZ/BİLGİN;57;B.KILINÇ;MEHMET YILDIZ;M.A.İNCESOY;4;;8;13;19;5.80;%7;07/05/2026
Ankara;1;14:30;1000;Cim;Maiden;2;GÖKAYKIZ;3y a  d;TURBO-ALHİLAL/ANKA;57;F.S.M.SANSAR;MEHMET DOĞAN;M.A.CANPOLATLI;8;;0;7;19;11.85;%2;07/05/2026
Ankara;1;14:30;1000;Cim;Maiden;3;HAYDİ BİTANEM;3y k  d;DÖVER-TURBONUN KIZI/TURBO;57;H.ÇİZİK;ALİ ÇELİK;M.DEMİROL;11;;9;7;19;11.65;%5;07/05/2026
Ankara;1;14:30;1000;Cim;Maiden;4;KATI;3y d  d;KATI SEMİH-SİTARE/SÜLO;54;ER.CANKILIÇ;MİTHAT KATI;Y.TUNCAY;10;;5;18;19;5.65;%10;07/05/2026
Ankara;1;14:30;1000;Cim;Maiden;5;LİNA;3y k  d;YILMABAŞAR-BÜŞRANUR/ALTAHA;57;E.ÇİZİK;HALİL FELHAN;E.ÇETİNKURT;6;;;;20;10.75;%3;07/05/2026
Ankara;1;14:30;1000;Cim;Maiden;6;SERHANTAYIN KIZI;3y k  d;SERHANTAY-ÖZPINAR/GOBAKBEY;57;SAL.ÇELİK;FUAT ŞİMŞEK;M.DAŞ;9;;;;20;11.00;%3;07/05/2026
Ankara;1;14:30;1000;Cim;Maiden;7;SOYKAN GÜZELİ;3y a  d;GÜMBÜRGÜMBÜR-GÖNÜLGÜZELİ/TURBO;57;M.N.SUNKAR;MEHMET ÖZTEKİN;İ.ÇEÇAN;2;;5;7;19;4.90;%27;07/05/2026
Ankara;1;14:30;1000;Cim;Maiden;8;SUZANAY;3y d  d;SONALP-GÜLAYDIN/DON JUAN;53;F.YÜCEL;MEHMET YILDIZ;M.A.İNCESOY;1;;7;13;19;5.80;%2;07/05/2026
Ankara;1;14:30;1000;Cim;Maiden;9;UĞURLU BEBEK;3y a  d;ORHUNKAAN-ARSLANDİKENİ/TURBO;57;MAHS.TURAN;NURİ TURAN;SEV.BEKTAŞ;7;;7;7;19;3.30;%22;07/05/2026
Ankara;1;14:30;1000;Cim;Maiden;10;ÜÇKONAKLI;3y k  d;SAKARBAŞI-AYHATUNKIZI/MAGRİP;57;F.R.BEBEK;MUHAMMET FELHAN;S.POLAT;5;;7;7;19;20.25;%2;07/05/2026
Ankara;1;14:30;1000;Cim;Maiden;11;YAYLA ÇİÇEĞİ;3y a  d;ÖZGÜNHAN-SEPYA/SEZGİNBEY;57;MÜS.ÇELİK;İSHAK ŞAHİN;H.SUNKAR;3;;6;13;19;4.40;%18;07/05/2026
Ankara;2;15:00;1600;Cim;;1;TUVA;3y d  e;ULAN BATOR-GOSTİVARLI/SIDNEY'S CANDY (USA);56;MÜS.ÇELİK;EMRAH KİSBU;U.KULAK;4;40;4-33176;19;18;3.55;%5;07/05/2026
Ankara;2;15:00;1600;Cim;;2;ABİDİN BEY;3y d  e;TILSIT (USA)-LA MERNANCIA (IRE)/KODIAC (GB);55;A.KURŞUN;ALİ ÖZHAMURKAR;S.GÜRKAN;2;35;36322;14;19;3.45;%12;07/05/2026
Ankara;2;15:00;1600;Cim;;3;BROTHER LOVIE;3y d  e;BODEMEISTER (USA)-LADY TULPAR/LION HEART (USA);55;M.S.ÇELİK;ÖZLEM ECE KARAMAZI TURAN;EN.KARATAŞ;6;58;1-62255;32;17;6.55;%28;07/05/2026
Ankara;2;15:00;1600;Cim;;4;PRENS NADİR;3y d  e;EPAULETTE (AUS)-HARD BABY/UNACCOUNTED FOR (USA);55;SAL.ÇELİK;SELİM YILDIZ;Y.TUNCAY;5;40;441;14;20;5.20;%11;07/05/2026
Ankara;2;15:00;1600;Cim;;5;MY STERY;3y d  e;AGRESIVO (USA)-SEPTEMBER DANCER/WEST BY WEST (USA);54;N.DEMİR;R.İLAYDA KAŞDAN;M.ÖZYİĞİT;8DSTercihli Start;36;475-527;60;15;12.15;%2;07/05/2026
Ankara;2;15:00;1600;Cim;;6;ACTION WONDER;3y d  d;TOROK (IRE)-DERİNİYA/DEHERE (USA);53;ER.CANKILIÇ;TALİP ÖZTÜRK;İB.B.OĞULLARI;3;58;1-1334;11;17;5.35;%23;07/05/2026
Ankara;2;15:00;1600;Cim;;7;PRENSES;3y k  d;MENDIP (USA)-TAPIT GIRL/TAPIT (USA);55;M.AKYAVUZ;TUĞBA YÜCELENMİŞ;S.ALTUNBAŞ;7;38;6-16537;14;16;16.50;%1;07/05/2026
