Hipodrom;Kosu_No;Saat;Mesafe;Pist;Cins;Sira;At_Ismi;Yas_Cinsiyet;Orijin;Kilo;Jokey;Sahip;Antrenor;Start_No;HP;Son_6_Yaris;KGS;S20;Ganyan;AGF;Tarih
Bursa;1;14:00;1400;Kum;Handikap;1;WARRIORS PATH;4y d  a;AVERY ISLAND (USA)-WATCH THE STORM/WIN RIVER WIN (USA);63;K.YILMAZ;CİMŞİT YILDIZ;T.ATEŞ;1;59;78-3016;81;19;;;08/05/2026
Bursa;1;14:00;1400;Kum;Handikap;2;MEGA POWER;5y d  a;MENDIP (USA)-CARNA/DIVINE LIGHT* (JPN);61,5;E.AKKAYA;ENGİN KARABULUT;A.ÖZDENİZ;8;55;76336-9;39;11;;;08/05/2026
Bursa;1;14:00;1400;Kum;Handikap;3;GENÇAY NALAN;5y a k;SHERE KHAN-AKYAZILI HANDE/DAI JIN (GB);59,5;R.KETME;CİHAN ERDEM KOPAL;E.TURAN;4;51;50-0811;18;20;;;08/05/2026
Bursa;1;14:00;1400;Kum;Handikap;4;WOODLAND CRY;4y d  a;BLUEGRASS CAT (USA)-TAMIT (IRE)/FASTNET ROCK (AUS);55,5;E.AKPINAR;UĞUR DEMİREL;İ.CANPOLAT;6;44;912453;18;17;;;08/05/2026
Bursa;1;14:00;1400;Kum;Handikap;5;KUMSALIM;5y d k;MYBOYCHARLIE (IRE)-DONT MAKE ME CRY/OKAWANGO (USA);55;H.TURAN;SİNAN AKKUŞ;R.COŞKUN;2;42;074955;18;13;;;08/05/2026
Bursa;1;14:00;1400;Kum;Handikap;6;KING OF THE SEA;5y a  a;BLUEGRASS CAT (USA)-PICKETLINE (USA)/STREET CRY (IRE);53,5;İ.GÜREKE;ENGİN KARABULUT;A.ÖZDENİZ;9DSTercihli Start;39;874968;18;8;;;08/05/2026
Bursa;1;14:00;1400;Kum;Handikap;7;TOLGA REİS;4y d  a;RUN AWAY AND HIDE (USA)-TWIST LADY/WIN RIVER WIN (USA);51,5;Ç.TAŞCI;A.CEYDA FEYZULLAH;C.YILDIRIM;7;36;30-0057;60;13;;;08/05/2026
Bursa;1;14:00;1400;Kum;Handikap;8;KING OF ALİ;4y d  a;TOROK (IRE)-GOLDCHAIN/MENDIP (USA);51;Y.T.AKKAYA;ALİ PASO;S.BAYDAN;3;35;467043;7;14;;;08/05/2026
Bursa;1;14:00;1400;Kum;Handikap;9;PAKSUHAN;4y d  a;KING OF THE SUN-ÇALPARA/LION HEART (USA);50;E.KORKMAZ;MUSTAFA ÖKSÜZ;M.TÜRKOĞLU;5;27;688-907;32;9;;;08/05/2026
Bursa;2;14:30;2200;Cim;Handikap;1;BABA BATTAL;3y d  e;FINESSE-MARWARI/OFFLEE WILD (USA);59;A.MEH.ALTIN;AZİZ BECENE;İ.TURAN;6;53;645-882;14;14;;;08/05/2026
Bursa;2;14:30;2200;Cim;Handikap;2;PRANDELLO;3y a  e;PHOENIX OF SPAIN (IRE)-DANCING D QUEEN (IRE)/CASAMENTO** (IRE);60;M.M.BİLGİN;A.LEVENT DİLMAÇ;İ.ÇAK;2;51;6-56311;14;20;;;08/05/2026
Bursa;2;14:30;2200;Cim;Handikap;3;SON OF SAINT;3y d  e;TIZWAY (USA)-BİDEVİ/GOLDEN SUN;59,5;MAH.TURAN;EREN YILMAZ;T.AVCI;8;50;549615;12;19;;;08/05/2026
