Hipodrom;Kosu_No;Saat;Mesafe;Pist;Cins;Sira;At_Ismi;Yas_Cinsiyet;Orijin;Kilo;Jokey;Sahip;Antrenor;Start_No;HP;Son_6_Yaris;KGS;S20;Ganyan;AGF;Tarih
Kocaeli;1;17:15;1700;Kum;Maiden;1;EL QUİMİCO;3y d  e;KLIMT (USA)-NEW SECRET/LION HEART (USA);61;M.ÇİÇEK;İSHAK ŞAHİN;M.DOLAK;2;37;534626;10;15;3,70;%18;05/05/2026
Kocaeli;1;17:15;1700;Kum;Maiden;2;EXCLUSIVE STAR;3y d  e;WAR CORRESPONDENT (USA)-MISS FAVELA/BOSPORUS (IRE);58;O.YILDIZ;MECNUN ALDAĞ;T.ÇEKİCİ;6;29;928-4;99;16;5,05;%12;05/05/2026
Kocaeli;1;17:15;1700;Kum;Maiden;3;HARP;3y a  e;ANGEL OF DEATH-ALWAYS ON MY MIND/ALWAYS A CLASSIC (CAN);58;G.ÖZÇELİK;A.MELİH KURA;Y.GÜNDOĞDİ;3;;;;20;12,10;%5;05/05/2026
Kocaeli;1;17:15;1700;Kum;Maiden;4;MAKE FUN OF;3y d  e;KLIMT (USA)-FULLMOON/GENERAL QUARTERS (USA);58;F.S.M.SANSAR;EMRE AKIN;H.KABUKCI;1;;34;10;18;1,55;%42;05/05/2026
Kocaeli;1;17:15;1700;Kum;Maiden;6;VICTOR OSIM;3y a  e;TRAPPE SHOT (USA)-SUADİYE/CAPTAIN RIO (GB);58;E.AKTUĞ;OKTAY OHCAK;C.TURAN;9;;0;27;19;26,50;%3;05/05/2026
Kocaeli;1;17:15;1700;Kum;Maiden;7;FINALLY IDYLL;3y d  d;KINOWA-WABUNABA/ARIZONA RED (USA);60;A.YILDIZ;TARDUHAN SÜTMEN;A.TEKDEMİR;4;34;526335;15;16;4,40;%15;05/05/2026
Kocaeli;1;17:15;1700;Kum;Maiden;8;HAIL TO PRINCESS;3y d  d;DIVINE HEART-ICE PRINCESS/OCEAN CREST (USA);56+1.50Fazla Kilo;S.ÖZEN;YASEMİN GÜVENÇ;S.SÜSLÜ;8;;74;42;18;23,30;%3;05/05/2026
Kocaeli;1;17:15;1700;Kum;Maiden;9;MY STAR GIRL;3y d  d;SUPER SAVER (USA)-BABY AZRA/PADDY O'PRADO (USA);53+0.30Fazla Kilo;Ö.F.ÖZEN;MECNUN ALDAĞ;T.ÇEKİCİ;5;;0-6;11;18;5,05;%1;05/05/2026
Kocaeli;2;17:45;1500;Kum;;1;DEMİRKARDEŞLER;6y k  a;ENDEREFE-DEMİR ALTUN/GOBAKBEY;59,5;M.ÇİÇEK;HAMİT DEMİR;K.ŞENGEL;4;91;31-3321;11;20;1,75;%35;05/05/2026
Kocaeli;2;17:45;1500;Kum;;2;HIZLI ÇOCUK;5y a  a;ALTINCI HİS-ALARAP/KAIZBERT (RU);59,5;N.AVCİ;KADRİ BAŞKURT;SEN.GÖKÇE;8;90;222443;11;17;2,55;%33;05/05/2026
Kocaeli;2;17:45;1500;Kum;;3;İLBAN BEYİ;5y k  a;TÜMÖZ BEY-NEŞE/TULYAD;52,5+0.60Fazla Kilo;Ö.F.ÖZEN;AHMET KAYA;M.DEMİRTAŞ;5;84;81976-0;12;16;2,85;%11;05/05/2026
Kocaeli;2;17:45;1500;Kum;;4;UFKUN ÖTESİ;5y a  a;UFUKBİR-NURTEN/HÜRBATUR;52,5+1.90Fazla Kilo;D.KONUK;KAYA KAYA;S.AKCI;3;82;006-760;7;13;49,15;%1;05/05/2026
Kocaeli;2;17:45;1500;Kum;;5;SER ŞÖVALYE;6y a  a;SERHANTAY-NİLÜFER HATUN/ŞÖVALYE;55,5+0.50Fazla Kilo;B.M.MIRIK;ŞİRİN DEMİR;HÜS.KARABULUT;7;64;43-5440;41;16;16,60;%3;05/05/2026
Kocaeli;2;17:45;1500;Kum;;6;GREEN MILE;5y k  a;ENDEREFE-CANIM/ODİNHAN;51,5+0.10Fazla Kilo;Ç.TAŞCI;İLHAN TEKİNALP;Ö.F.TAŞDELEN;1;51;699544;164;13;15,15;%1;05/05/2026
Kocaeli;2;17:45;1500;Kum;;7;TATMAR BEY;7y k  a;EFEM-AHUCEREN/SERGEN;51,5;E.KORKMAZ;MURAT TEZER;G.TAŞDELEN;6;82;617376;176;16;51,65;%1;05/05/2026
Kocaeli;2;17:45;1500;Kum;;8;ŞİRİN DE FAUST;4y k k;YALNIZEFE-CANSUDE/SULTAN DE FAUST (FR);54;Y.Ş.GÜMÜŞ;NEŞE ERGEN;HÜS.KARABULUT;2;8;00-0;7;17;112,60;%0;05/05/2026
Kocaeli;2;17:45;1500;Kum;;9;ROCK IRON;7y a  a;SULTAN DE FAUST (FR)-NARGÜZELİ/YAVUZCA;55,5;A.YILDIZ;AHMET KAYA;M.DEMİRTAŞ;9;95;633-762;12;14;2,85;%16;05/05/2026
Kocaeli;3;18:30;1900;Kum;;1;FIRE AT WILL;3y k  e;GENERAL QUARTERS (USA)-OLIMPIADE/DR FONG (USA);60;B.M.MIRIK;CENGİZ RONA;S.YANMAZ;5DSTercihli Start;59;253613;14;19;2,40;%23;05/05/2026
